timestamp_bst,pm2_5_ugm3,pm10_ugm3,no2_ugm3,o3_ugm3,co_mgm3,so2_ugm3,dust_aod_550nm
1/11/2017 12:00,114.29245,161.26285,3.1416004,139.52524,0.8836151,5.289128,0.008766312
1/11/2017 15:00,97.46027,137.26425,2.4057822,141.71852,0.7290057,4.085379,0.009081842
1/11/2017 18:00,165.79547,232.86702,6.4157567,116.731155,0.8612936,6.4786367,0.008781984
1/11/2017 21:00,212.61722,299.05243,8.544021,110.409004,1.0343791,8.241035,0.008484298
1/12/2017 0:00,205.49736,289.47318,11.162412,104.79593,1.2387952,11.214788,0.008536391
1/12/2017 3:00,198.54279,280.01593,13.051847,95.02195,1.4452549,14.357562,0.008752074
1/12/2017 6:00,197.37144,278.50314,19.343859,87.95261,1.5586864,14.1010275,0.012271302
1/12/2017 9:00,189.64018,267.55356,12.925638,107.60735,1.5278639,11.181035,0.01203256
1/12/2017 12:00,121.225525,170.90895,3.6164117,147.6405,1.075387,6.0019627,0.011793427
1/12/2017 15:00,72.377975,101.80435,2.24014,128.37126,0.6342466,3.1836293,0.012303127
1/12/2017 18:00,131.06834,183.94385,6.518361,104.823044,0.74463195,5.8520427,0.012279779
1/12/2017 21:00,159.93076,224.8063,10.585488,91.5937,0.9679561,9.456308,0.01191614
1/13/2017 0:00,155.94725,219.53368,11.815363,86.87311,1.1088806,13.3915825,0.011945031
1/13/2017 3:00,156.01855,219.94267,10.893638,88.22258,1.1709684,15.341705,0.011361874
1/13/2017 6:00,144.74034,204.26273,8.769825,85.03706,1.2097656,14.861218,0.010999855
1/13/2017 9:00,150.51727,212.4459,6.2922144,98.597946,1.2403662,12.938368,0.011939451
1/13/2017 12:00,96.87119,136.68562,1.826408,139.71754,0.8629141,7.1455483,0.011867728
1/13/2017 15:00,75.39694,106.29556,1.6314394,133.90157,0.6135126,5.1184916,0.010892294
1/13/2017 18:00,130.0493,182.79134,5.458233,112.367,0.70636725,7.356711,0.01011533
1/13/2017 21:00,178.12863,250.70052,6.8778296,106.17945,0.8161525,9.127198,0.008406516
1/14/2017 0:00,182.23663,256.9444,9.861107,96.93888,0.95624894,11.9637575,0.006852427
1/14/2017 3:00,166.83768,235.57118,12.971439,83.371765,1.1255639,15.410115,0.0055837
1/14/2017 6:00,152.62071,215.672,15.487746,79.47296,1.1692343,15.226323,0.004710368
1/14/2017 9:00,149.41588,211.106,10.508722,96.43401,1.224371,13.65357,0.005181503
1/14/2017 12:00,95.38354,134.68095,2.6312935,142.9116,0.8754296,7.2837706,0.005949011
1/14/2017 15:00,76.016075,107.21644,2.1307442,139.98103,0.67199326,5.198744,0.006789858
1/14/2017 18:00,138.7385,195.18877,5.276575,121.773315,0.7628083,7.068639,0.007893323
1/14/2017 21:00,162.36702,228.6732,5.9328723,114.29055,0.8563887,8.584762,0.008038918
1/15/2017 0:00,166.03876,234.16928,8.307975,100.07082,1.0007038,11.472093,0.007266864
1/15/2017 3:00,168.50058,237.91643,10.554646,85.54116,1.1269915,14.222055,0.007338197
1/15/2017 6:00,204.5133,288.92896,14.92458,76.18686,1.1660403,13.740646,0.007597971
1/15/2017 9:00,196.8699,278.01184,11.207805,91.902954,1.190131,11.733227,0.008579884
1/15/2017 12:00,129.78131,183.04712,4.964166,144.63892,0.9876852,7.447478,0.009986755
1/15/2017 15:00,96.71939,136.28088,3.1973114,145.1651,0.7378642,5.050599,0.010392232
1/15/2017 18:00,166.96217,234.81123,5.901433,128.51892,0.840761,6.964746,0.009574784
1/15/2017 21:00,196.82323,277.09518,6.762748,119.498184,0.96553785,8.609412,0.009136326
1/16/2017 0:00,192.15826,270.91614,9.151442,104.78558,1.1306489,11.75497,0.008962764
1/16/2017 3:00,185.70131,262.17163,10.862128,94.7235,1.3059318,14.990388,0.008654141
1/16/2017 6:00,195.63719,276.42932,17.125963,86.37683,1.4090879,15.3082285,0.009679835
1/16/2017 9:00,193.09277,272.75497,12.282071,106.87859,1.4640293,13.628816,0.011117353
1/16/2017 12:00,132.65048,187.27206,4.875614,156.85649,1.1634684,8.316988,0.009617798
